Materials,Energy,Industrials,Consumer_Discretionary,Consumer_Staples,Health_Cares,Financials,Information_Technology,Communication_Services,Utilities,Real_Estate
,STNG,HTOO,HRB,,BLCM,EFSC,ERIC,SLGG,,
,STR,HUBB,HTHT,,BLCO,EGBN,ESMT,SNAL,,
,SU,HUBG,HVT,,BLFS,EHTH,ESTC,SNAP,,
,SUN,HURN,IBP,,BLPH,EIG,ETWO,SOHU,,
,SWN,HWM,IGT,,BLRX,ENVA,EVBG,SOPA,,
,TALO,HXL,IHG,,BLTE,EQBK,EVCM,SPOK,,
,TDW,HYFM,INSE,,BLU,EQS,EVLV,SPOT,,
,TGS,ICFI,IRBT,,BLUE,ERIE,EXFY,SSP,,
,TK,IEP,ISPO,,BMEA,ESGR,EXTR,SST,,
,TNK,IESC,JACK,,BMRA,ESQ,FARO,SSTK,,
,TNP,IIIN,JAKK,,BMRN,ESSA,FCUV,STBX,,
,TOPS,ILAG,JILL,,BMY,EVR,FEIM,STGW,,
,TPL,INOD,JOUT,,BNGO,EWBC,FFIV,SURG,,
,TRGP,IPDN,JRSH,,BNOX,EZPW,FICO,SWAG,,
,TRMD,IPW,JXJT,,BNR,FAF,FIVN,SY,,
,TRP,IPWR,JZ,,BNTC,FANH,FKWL,T,,
,TS,ISSC,JZXN,,BNTX,FBIZ,FLEX,TBLA,,
,TTE,ISUN,KBH,,BOLT,FBK,FN,TC,,
,TTI,J,KIRK,,BPMC,FBMS,FORG,TDS,,
,TUSK,JAN,KMX,,BPTH,FBNC,FORTY,TEF,,
,TXO,JBI,KOSS,,BPTS,FBP,FROG,TEO,,
,UGP,JCI,KRUS,,BRKR,FBRT,FRSH,TGL,,
,UROY,JCTCF,KTB,,BRLI,FCAP,FSLR,TGNA,,
,USAC,JELD,KXIN,,BRTX,FCBC,FSLY,THRY,,
,USDP,KAMN,LAD,,BSGM,FCCO,FTNT,TIGO,,
,USEG,KAR,LAKE,,BSX,FCF,GDDY,TIMB,,
,VAL,KBAL,LANV,,BTAI,FCFS,GDS,TKC,,
,VET,KBR,LAUR,,BTCY,FCNCA,GDYN,TLK,,
,VGAS,KELYA,LAZY,,BTMD,FDBC,GEN,TME,,
,VIST,KELYB,LCID,,BTTX,FDS,GFS,TMUS,,
,VLO,KFRC,LCUT,,BVS,FDUS,GIB,TRIP,,
,VNOM,KFY,LE,,BVXV,FFBC,GILT,TRKA,,
,VOC,KRT,LEG,,BWAY,FFIC,GLOB,TRMR,,
,VTLE,KSCP,LEGH,,BWV,FFIN,GLW,TRUE,,
,VTNR,KTOS,LEN,,BXRX,FFNW,GNSS,TRVG,,
,VTOL,KWE,LEVI,,BYSI,FFWM,GREE,TSAT,,
,VTS,LDOS,LGIH,,CABA,FG,GRRR,TSQ,,
,WDS,LHX,LI,,CADL,FGBI,GSIT,TTD,,
,WES,LICN,LINC,,CAH,FGF,GTLB,TTGT,,
,WFRD,LICY,LIND,,CALT,FHB,GVP,TTWO,,
,WHD,LII,LIVE,,CANO,FHI,GWRE,TU,,
,WMB,LILM,LKQ,,CAPR,FHN,HCKT,TV,,
,WTI,LLAP,LL,,CARA,FIBK,HCP,TZOO,,
,WTTR,LMB,LNW,,CARM,FINV,HEAR,UCL,,
,XOM,LMT,LOCO,,CASI,FINW,HIMX,UONE,,
,XPRO,LNN,LOPE,,CBAY,FISI,HIVE,UONEK,,
,YPF,LQDT,LOVE,,CBIO,FITB,HKD,USM,,
,,LUNR,LOW,,CCCC,FLIC,HLIT,VEON,,
,,LYTS,LRN,,CCLD,FMAO,HOLI,VIV,,
,,LZ,LSEA,,CCM,FMBH,HOLO,VMEO,,
,,MAN,LTH,,CCRN,FMNB,HPE,VOD,,
,,MAS,LTRY,,CDIO,FNB,HPQ,VS,,
,,MATW,LULU,,CDMO,FNCB,HTCR,VTEX,,
,,MAXR,LVLU,,CDNA,FNF,HUBS,VZ,,
,,MBC,LVS,,CDTX,FNLC,HUT,WB,,
,,MDU,LVWR,,CDXC,FNWB,IBM,WBD,,
,,MEG,LXEH,,CDXS,FNWD,ICG,WEJO,,
,,MG,LZB,,CELC,FOCS,IDAI,WIMI,,
,,MGRC,MAR,,CELL,FRAF,IDBA,WLY,,
,,MKUL,MAT,,CELU,FRBA,IDCC,WLYB,,
,,MLKN,MBUU,,CELZ,FRBK,IDN,WMG,,
,,MMM,MCD,,CEMI,FRC,IFBD,WOW,,
,,MNTS,MCFT,,CERE,FRGE,III,WPP,,
,,MRC,MCRI,,CERS,FRHC,IMMR,WWE,,
,,MRCY,MCW,,CERT,FRME,IMOS,YALA,,
,,MSA,MDC,,CFMS,FRST,IMTE,YELP,,
,,MSM,METX,,CFRX,FSBC,INDI,YVR,,
,,MTRX,MGM,,CGC,FSBW,INFA,YY,,
,,MTZ,MGOL,,CGEM,FSEA,INFN,ZD,,
,,MYNA,MHK,,CGEN,FSFG,INFY,ZH,,
,,MYRG,MHO,,CGTX,FSK,INPX,ZI,,
,,NCRA,MICS,,CHE,FULT,INSG,ZIP,,
,,NEOV,MLCO,,CHEK,FUNC,INST,,,
,,NL,MMYT,,CHRS,FUSB,INTA,,,
,,NOC,MNRO,,CI,FUTU,INTC,,,
,,NOTE,MODG,,CING,FVCB,INTU,,,
,,NPK,MOND,,CKPT,FXNC,INTZ,,,
,,NRGV,MOV,,CLDX,GABC,INVE,,,
,,NSP,MPX,,CLGN,GAIN,INVZ,,,
,,NVEE,MRM,,CLLS,GBCI,IONQ,,,
,,NVT,MSC,,CLNN,GBDC,IOT,,,
,,NVVE,MTH,,CLOV,GBLI,IPGP,,,
,,NWPX,MTN,,CLPT,GBNY,IREN,,,
,,NX,MULN,,CLRB,GCBC,IRNT,,,
,,NXT,MUSA,,CLSD,GCMG,IT,,,
,,OC,MYTE,,CLVR,GDOT,ITI,,,
,,OESX,NAAS,,CLXT,GECC,ITRI,,,
,,OIG,NATH,,CMAX,GGAL,ITRN,,,
,,OMAB,NCLH,,CMMB,GHL,IVAC,,,
,,OMEX,NDLS,,CMND,GL,IVDA,,,
,,OPXS,NEGG,,CMPS,GLAD,IZM,,,
,,ORN,NEPH,,CMPX,GLBZ,JAMF,,,
,,PAC,NETC,,CMRA,GLRE,JBL,,,
,,PAYX,NGMS,,CMRX,GNTY,JG,,,
,,PBI,NIO,,CNC,GNW,JKS,,,
,,PEGY,NIU,,CNGL,GOCO,JNPR,,,
,,PESI,NKE,,CNMD,GPMT,KARO,,,
,,PFMT,NLS,,CNSP,GRNQ,KC,,,
,,PGTI,NRDY,,CNTA,GROW,KD,,,
,,PIXY,NTZ,,CNTB,GS,KE,,,
,,PKE,NVFY,,CNTG,GSBC,KERN,,,
,,PL,NVR,,CNTX,GSBD,KEYS,,,
,,PLPC,NWL,,COCP,GSHD,KLR,,,
,,PLUG,NWTN,,CODX,HAFC,KLTR,,,
,,POLA,ONEW,,COEP,HALL,KN,,,
,,POWL,ONON,,COGT,HASI,KODK,,,
,,PPSI,ORLY,,COLL,HBAN,KOPN,,,
,,PRIM,OSTK,,CONX,HBCP,KSPN,,,
,,PSN,OSW,,COO,HBNC,KTCC,,,
,,PWR,OXM,,CORT,HBT,KVHI,,,
,,PYR,PAG,,COSM,HCI,LASR,,,
,,QH,PBPB,,COYA,HDB,LAW,,,
,,QRHC,PENN,,CPIX,HFBL,LCFY,,,
,,QTEK,PET,,CPRX,HFWA,LEDS,,,
,,QUAD,PEV,,CPSI,HGBL,LFUS,,,
,,RAYA,PHM,,CRBP,HGTY,LIDR,,,
,,RBA,PII,,CRBU,HIFS,LITE,,,
,,RCMT,PIK,,CRDF,HIG,LOGI,,,
,,RCRT,PLAY,,CRDL,HIPO,LPL,,,
,,RDVT,PLBY,,CRIS,HLI,LPSN,,,
,,RDW,PLCE,,CRL,HLNE,LPTH,,,
,,RELX,PLNT,,CRMD,HMN,LSCC,,,
,,REZI,PLYA,,CRNX,HMNF,LSPD,,,
,,RGP,POOL,,CRON,HMST,LTCH,,,
,,RHI,POWW,,CRSP,HNNA,LTRX,,,
,,RKLB,PRDO,,CRVL,HNVR,LUNA,,,
,,ROAD,PRPL,,CRVS,HOMB,LVOX,,,
,,ROCK,PRTS,,CSBR,HONE,LWLG,,,
,,ROK,PSNY,,CSII,HOOD,MANH,,,
,,ROL,PSO,,CSTL,HOPE,MAPS,,,
,,RRX,PTLO,,CTIC,HRTG,MARA,,,
,,RSG,PTON,,CTKB,HRZN,MARK,,,
,,RTO,PVH,,CTLT,HSBC,MASS,,,
,,RTX,PZZA,,CTMX,HTBI,MAXN,,,
,,RUN,QSG,,CTSO,HTBK,MCHP,,,
,,RUSHA,QSR,,CTXR,HTGC,MCLD,,,
,,RUSHB,RACE,,CUE,HTH,MDB,,,
,,SAIC,RAVE,,CUTR,HTLF,MEI,,,
,,SATL,RCKY,,CVAC,HUIZ,MFH,,,
,,SCS,RCL,,CVKD,HVBC,MGIC,,,
,,SCWO,REAL,,CVRX,HWBK,MIGI,,,
,,SES,RERE,,CVS,HWC,MINM,,,
,,SFWL,RGR,,CWBR,HYW,MIR,,,
,,SGBX,RGS,,CYAD,IBCP,MITK,,,
,,SGLY,RH,,CYCC,IBKR,MIXT,,,
,,SHLS,RICK,,CYCN,IBN,MLGO,,,
,,SHPW,RIDE,,CYH,IBOC,MLNK,,,
,,SIDU,RIVN,,CYRX,IBTX,MMAT,,,
,,SITE,RL,,CYT,ICCH,MNDO,,,
,,SKIL,RMBL,,CYTH,ICE,MNDY,,,
,,SKYX,ROST,,CYTK,ICMB,MNTV,,,
,,SMR,ROVR,,CYTO,IFS,MOB,,,
,,SNTG,RRGB,,DARE,IGIC,MODN,,,
,,SOL,RRR,,DAWN,INBK,MOVE,,,
,,SOS,RSI,,DBTX,INDB,MPWR,,,
